Fecha;Últ precio;Volumen;;;;;;
29/06/2020;73,92;3244033;;;;;;
26/06/2020;71,16;9989508;;;;;;
25/06/2020;72,51;3999906;;;;;;
24/06/2020;73,19;3776898;;;;;;
23/06/2020;75,68;3956916;;;;;;
22/06/2020;76,08;1949483;;;;;;
19/06/2020;76,17;4250957;;;;;;
18/06/2020;78,16;3898964;;;;;;
17/06/2020;76,42;3457760;;;;;;
16/06/2020;78,25;3104173;;;;;;
15/06/2020;77,48;3404488;;;;;;
12/06/2020;77,45;4733592;;;;;;
11/06/2020;77,59;5266458;;;;;;
10/06/2020;82,83;3943085;;;;;;
9/06/2020;86,13;3087065;;;;;;
8/06/2020;89,7;4554527;;;;;;
5/06/2020;87,2;6686190;;;;;;
4/06/2020;86,34;3502983;;;;;;
3/06/2020;86,11;3624854;;;;;;
2/06/2020;83,6;3138763;;;;;;
1/06/2020;81,91;2374555;;;;;;
29/05/2020;79,31;3923807;;;;;;
28/05/2020;80,62;3368789;;;;;;
27/05/2020;83,15;5167042;;;;;;
26/05/2020;81,69;3879864;;;;;;
22/05/2020;78,39;2822887;;;;;;
21/05/2020;77,66;4794459;;;;;;
20/05/2020;77,72;3522280;;;;;;
19/05/2020;75,29;3955045;;;;;;
18/05/2020;73,07;6424880;;;;;;
15/05/2020;68,54;2330973;;;;;;
14/05/2020;68,17;6036656;;;;;;
13/05/2020;64,85;4944508;;;;;;
12/05/2020;67;3176838;;;;;;
11/05/2020;68,3;5532585;;;;;;
8/05/2020;72,19;8489639;;;;;;
7/05/2020;71,9;4738594;;;;;;
6/05/2020;70,79;3838772;;;;;;
5/05/2020;71,74;3066899;;;;;;
4/05/2020;71,41;4295269;;;;;;
1/05/2020;72,03;3693407;;;;;;
30/04/2020;75,71;4382491;;;;;;
29/04/2020;79,28;6173969;;;;;;
28/04/2020;75,75;3003491;;;;;;
27/04/2020;75,19;2558286;;;;;;
24/04/2020;71,37;1954077;;;;;;
23/04/2020;71,94;2246470;;;;;;
22/04/2020;70,79;2710374;;;;;;
21/04/2020;71,35;3139119;;;;;;
20/04/2020;72,28;4815431;;;;;;
17/04/2020;75,62;4952843;;;;;;
16/04/2020;70,15;4771953;;;;;;
15/04/2020;69,87;5802963;;;;;;
14/04/2020;70,01;4575843;;;;;;
13/04/2020;66,64;4020738;;;;;;
9/04/2020;68,45;7537422;;;;;;
8/04/2020;70,09;8521189;;;;;;
7/04/2020;65,83;7903040;;;;;;
6/04/2020;63,8;9128501;;;;;;
3/04/2020;55,94;7232904;;;;;;
2/04/2020;57,86;7930231;;;;;;
1/04/2020;63,04;5742986;;;;;;
31/03/2020;68,24;5166682;;;;;;
30/03/2020;68,68;5064500;;;;;;
27/03/2020;69,15;5784051;;;;;;
26/03/2020;73,2;7411634;;;;;;
25/03/2020;72,25;7695495;;;;;;
24/03/2020;69,39;9956110;;;;;;
23/03/2020;63,33;11003540;;;;;;
20/03/2020;61,6;11377386;;;;;;
19/03/2020;58,03;13086301;;;;;;
18/03/2020;56,68;18610520;;;;;;
17/03/2020;64,83;10971909;;;;;;
16/03/2020;69,54;8647020;;;;;;
13/03/2020;78,63;8068543;;;;;;
12/03/2020;76,72;11501162;;;;;;
11/03/2020;81,09;9833268;;;;;;
10/03/2020;90,32;5472102;;;;;;
9/03/2020;86,18;7335652;;;;;;
6/03/2020;90,45;6450413;;;;;;
5/03/2020;91,5;9044901;;;;;;
4/03/2020;98,39;7065308;;;;;;
3/03/2020;93,33;6433266;;;;;;
2/03/2020;96,46;4791407;;;;;;
28/02/2020;97,2;6129154;;;;;;
27/02/2020;95,83;7692936;;;;;;
26/02/2020;97,9;6111147;;;;;;
25/02/2020;98,88;5490911;;;;;;
24/02/2020;104,02;4565237;;;;;;
21/02/2020;109,57;1716068;;;;;;
20/02/2020;112;1165346;;;;;;
19/02/2020;112,67;1543321;;;;;;
18/02/2020;111,93;1805053;;;;;;
14/02/2020;113,23;948921;;;;;;
13/02/2020;112,96;1396047;;;;;;
12/02/2020;113,7;1891071;;;;;;
11/02/2020;112,94;2388582;;;;;;
10/02/2020;111,37;2028555;;;;;;
7/02/2020;110,84;1371166;;;;;;
6/02/2020;112,7;1477603;;;;;;
5/02/2020;113,26;2143997;;;;;;
4/02/2020;110,94;1689492;;;;;;
3/02/2020;107,85;2097725;;;;;;
