upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
1820041218,MICHELOB,.53312141,7953.3555,4196.52,2823441.206,Oz,MICHELOB,,,,,
1820043218,MICHELOB LIGHT,.52679348,2105.3,1092.83,747381.5,Oz,MICHELOB,LIGHT,,,,
1820043273,MICHELOB LIGHT BEER,.49933264,59.980053,29.949999,21292.91992,Oz,MICHELOB,LIGHT,BEER,,,
1820053047,BUDWEISER LIGHT BEER,.59171367,662383.75,380935.72,235146232.4,Oz,BUDWEISER,LIGHT,BEER,,,
1820053168,BUDWEISER LIGHT BEER,.47562671,1878335.4,878861.13,666809082.1,Oz,BUDWEISER,LIGHT,BEER,,,
1820053178,BUDWEISER LIGHT BEER,.47450069,2039.3219,968.15002,723959.2773,Oz,BUDWEISER,LIGHT,BEER,,,
1820057920,BUDWEISER LT DRAFT B,.44776958,8583.3906,3840.4399,3047103.516,GA,BUDWEISER,LT,DRAFT,B,,
1820061047,BUSCH BEER,.4499132,151173.73,66990.32,53666675.46,Oz,BUSCH,BEER,,,,
1820061166,BUSCH BEER,.35081553,26007.352,9007.2402,9232610.117000001,Oz,BUSCH,BEER,,,,
1820061168,BUSCH BEER,.35071188,1397967.1,478421.97,496278344.5,Oz,BUSCH,BEER,,,,
1820079047,O'DOUL'S NON ALCOHOL,.58091247,208286.73,116901.55,73941793.84,Oz,O'DOUL'S,NON,ALCOHOL,,,
1820079283,O'DOUL'S N/A LONGNEC,.56761187,3208.9329,1805.99,1139171.216,Oz,O'DOUL'S,N/A,LONGNEC,,,
1820084167,ICE DRAFT LIGHT,.51008362,12235.931,6225.8599,4343755.668,Oz,ICE,DRAFT,LIGHT,,,
1820086167,BUSCH LIGHT BEER,.35039827,801237.56,274451.53,284439342.2,Oz,BUSCH,LIGHT,BEER,,,
1820087167,BUD ICE,.48191705,127493.6,60892.352,45260230.63,Oz,BUD,ICE,,,,
