upc,descrip,price,q,sales,volsales,unit
1820000019,MICHELOB REGULAR BEE,.69069856,2621.128381729126,1797.629935264587,930500.6005859375,Oz
1820000031,BUSCH LIGHT BEER,.48182681,5.998005390167236,2.889999866485596,2129.2919921875,Oz
1820000051,BUSCH BEER,.4599894,256660.6549639702,114899.2569482327,91114533.87792969,Oz
1820000106,BUDWEISER LIGHT BEER,.63219714,280658.674428463,176377.1761875153,99633831.09277344,Oz
1820000117,BUDWEISER LIGHT BEER,.66941786,9103.639530897141,6130.270100712776,3231792.00970459,Oz
1820000126,BUDWEISER BEER N.R.B,.57753026,4828.394235134125,2817.99004638195,1714079.98046875,Oz
1820000157,O'DOUL'S NON-ALCH CA,.6495204,79455.57882595062,50666.17779803276,28206731.06835938,Oz
1820000182,MICHELOB DRY CANS,.68189329,1055.648957252502,717.1399707794189,374755.390625,Oz
1820000188,BUSCH LIGHT BEER,.45802721,90893.77519702911,40745.53870749474,32267290.88574219,Oz
1820000202,BUDWEISER DRY BEER,.61795163,34452.54326963425,21233.19931769371,12230653.20410156,Oz
1820000489,"BUDWEISER ""ICE"" DRAF",.66428822,8163.285426616669,5421.929703712463,2897966.40234375,Oz
1820000610,ELEPHANT RED ALE,1.0820264,65.9780592918396,71.3899974822998,23422.2119140625,Oz
1820000613,RED WOLF LAGER LNNR,.62146777,82232.65566825867,49958.87039470673,29192593.24414063,Oz
1820000617,RED WOLF LAGER LNNR,.63399255,107718.1819972992,66944.63747215271,38239955.02050781,Oz
1820000618,ELK MOUNTAIN RED LAG,.92453551,1277.575153827667,1178.369956016541,453539.1943359375,Oz
1820000622,ELK MOUNTAIN AMBER A,.88064361,347.8843140602112,301.2199907302856,123498.935546875,Oz
1820000637,BUDWEISER LIGHT CUBE,.47661677,263.912239074707,124.8499984741211,93688.84765625,Oz
1820000644,BUDWEISER ICE DRAFT,.59032804,163589.6030158997,89740.25988817215,58074309.91210938,Oz
1820000646,"BUDWEISER ""ICE"" DRAF",.63118345,77182.33495521545,47539.66791200638,27399729.42089844,Oz
1820000647,"BUDWEISER ""ICE"" DRAF",.62789494,10520.5015296936,6607.730066299438,3734778.15234375,Oz
1820000649,ICE DRAFT LIGHT,.59211248,7425.530834197998,3614.679974555969,2636063.48046875,Oz
1820000651,ICE DRAFT LIGHT,.66426837,4276.57789516449,2840.869837999344,1518185.190429688,Oz
1820000670,MICHELOB GOLDEN DRAF,.64767319,73691.49577188492,45029.06821227074,26160481.46191406,Oz
1820000695,MICHELOB GOLDEN DRAF,.59442002,357241.2097969055,195674.1969981194,126820631.2539063,Oz
1820000696,MICHELOB GOLDEN DRAF,.66714483,1319.561203956604,879.5999507904053,468444.23828125,Oz
1820000699,MICHELOB GOLDEN DRAF,.59719342,577691.9079189301,312898.6163511276,205080629.3300781,Oz
1820000700,MICHELOB GOLDEN DRAF,.64712238,8943.026221752167,5618.659757852554,3174774.364257813,Oz
1820000701,MICHELOB GOLDEN DRAF,.49377525,863.712815284729,429.3800182342529,306618.04296875,Oz
1820000759,MICHELOB GOLDEN DRFT,.64959812,115815.4889602661,70220.86741495132,41114499.12792969,Oz
1820000769,BUDWEISER LIGHT LONG,.57026732,8565.151841163635,4815.94984292984,3040628.96484375,Oz
1820000770,MICHELOB DRY LONGNEC,.61448854,13663.45644283295,8094.109970092773,4850527.166015625,Oz
1820000771,BUDWEISER BEER LONG,.57558775,17406.21199798584,9874.309737205505,6179205.37109375,Oz
1820000773,BUDWEISER LIGHT BEER,.64092731,405.8650321960449,260.1299800872803,144082.0881347656,Oz
1820000774,BUDWEISER BEER,.63437462,10113.96991920471,6409.919503092766,3590459.382080078,Oz
1820000780,BUDWEISER DRY LONGNE,.60505885,85627.52635335922,50066.53894400597,30397772.51855469,Oz
1820000781,BUDWEISER DRY BEER,.57800156,81524.89019012451,46300.57893037796,28941336.765625,Oz
1820000784,O'DOUL'S N/A LONGNEC,.63124526,1150939.297047615,697065.8488430977,408583453.8466797,Oz
1820000800,MICHELOB DRY LONGNEC,.67569119,58330.60322952271,38404.72939300537,20707364.63964844,Oz
1820000801,BUSCH LIGHT BEER,.44833463,58396.58132171631,25830.15969562531,20730786.86914063,Oz
1820000814,MICHELOB DRY LONGNEC,.61613512,56153.3277797699,33415.96960926056,19934431.67285156,Oz
1820000830,BUDWEISER LIGHT LONG,.61603808,11.99601078033447,7.389999389648438,4258.583984375,Oz
1820000833,BUDWEISER LIGHT LONG,.61907113,429733.10516119,256296.7322177887,152555254.3701172,Oz
1820000834,BUDWEISER BEER LONG,.62164909,837099.6528449059,499436.8469297886,297170379.1308594,Oz
1820000846,CARLSBERG BEER,1.0820264,3988.673605918884,4315.849922180176,1415979.174804688,Oz
1820000847,ELEPHANT BEER,1.0820264,5.998005390167236,6.489999771118164,2129.2919921875,Oz
1820000869,MICHELOB CLASSIC DAR,.65006536,69318.94928598404,43204.31915664673,24608227.58203125,Oz
